player_id,year,team
8305,1996,IND
8305,1997,IND
8305,1998,CAR
20742,2003,MIN
20742,2004,MIN
20742,2005,MIN
20742,2006,STL
20742,2007,STL
515,1975,MIA
515,1976,MIA
15679,2009,CLE
15679,2010,CLE
15679,2011,CLE
15679,2012,PHI
4270,2017,CLE
24171,2014,NYJ
24171,2015,NYJ
24171,2016,NYJ
24171,2017,HOU
6824,1953,GNB
6824,1954,GNB
6824,1955,GNB
6824,1956,GNB
6824,1957,GNB
6824,1958,GNB
6824,1960,LAC
17411,2006,CLE
17411,2007,MIA
542,2017,JAX
4635,2014,DET
4635,2015,PHI
16217,2017,DAL
532,1978,KAN
23159,1986,HOU
23159,1987,HOU
23159,1989,PIT
208,2015,KAN
208,2016,KAN
208,2017,SEA
13741,2008,CIN
13741,2009,TAM
13741,2010,TAM
13741,2011,TAM
13741,2012,SDG
13741,2013,IND
451,1991,HOU
12962,1986,SEA
22076,1983,TAM
22076,1984,TAM
22076,1987,RAM
23000,1967,PIT
23000,1970,PIT
23000,1971,PIT
23000,1972,DEN
3127,1974,DET
3127,1975,DET
3127,1976,DET
3127,1977,DET
3127,1978,DET
3127,1979,DET
3127,1980,DET
3127,1981,DET
3127,1982,DET
3127,1983,DET
3127,1984,DET
15159,1978,NOR
20689,2003,PHI
20689,2004,PHI
20689,2005,PHI
20689,2006,PHI
20689,2007,PHI
20689,2008,PHI
20689,2009,BAL
3247,1979,ATL
3247,1980,ATL
3247,1981,ATL
3247,1982,ATL
3247,1983,ATL
3247,1984,ATL
3247,1985,RAM
13794,1983,STL
13794,1984,STL
13794,1985,STL
13794,1986,STL
13794,1987,STL
13794,1988,PHO
13794,1989,PHO
13794,1990,PHO
13794,1991,SDG
13794,1992,NOR
13794,1993,NOR
6868,1985,TAM
4954,2006,CHI
16784,1981,KAN
16784,1982,KAN
18196,2012,NYG
18196,2013,NYG
18196,2014,NYG
18196,2015,NYG
16948,2002,DET
16948,2003,DET
16948,2004,CHI
16948,2006,NOR
16948,2007,DET
16948,2008,DET
16948,2009,SEA
8774,2005,BAL
8774,2006,BAL
8774,2007,BAL
14520,2010,OAK
14520,2011,OAK
14520,2012,OAK
14520,2014,DAL
14520,2015,DAL
4421,1964,OAK
4421,1966,OAK
4421,1967,OAK
4421,1968,OAK
4421,1969,OAK
4421,1970,OAK
4421,1971,OAK
4421,1972,OAK
4421,1973,OAK
4421,1974,OAK
398,1999,NWE
398,2000,NWE
398,2002,KAN
2993,1978,KAN
5136,1984,BUF
11364,1995,TAM
11364,1996,TAM
11364,1997,TAM
11364,1998,KAN
21007,2009,SDG
21007,2010,SFO
21007,2011,SFO
21007,2012,SFO
21007,2013,SFO
21007,2014,DAL
6093,1999,CLE
6093,2000,CLE
6013,1962,NYG
6013,1963,PHI
11255,1977,PHI
11255,1978,PHI
11255,1979,SFO
15191,1972,ATL
15191,1973,ATL
15191,1974,ATL
15191,1976,SDG
5647,1994,TAM
5647,1995,TAM
5647,1996,TAM
5647,1997,TAM
5647,1998,TAM
5647,1999,TAM
5647,2000,BAL
5647,2001,SEA
5647,2002,SEA
5647,2003,SEA
5647,2004,SEA
5647,2005,CLE
5647,2007,SFO
24084,1996,SEA
24084,1997,SEA
24084,1998,SEA
24084,1999,SEA
24084,2000,NWE
24084,2001,NWE
24084,2002,STL
24084,2003,STL
24084,2004,STL
18780,1988,KAN
18780,1989,KAN
18780,1990,KAN
18780,1991,DAL
18780,1992,DAL
20247,1987,BUF
13239,1997,OAK
986,1960,HOU
986,1961,HOU
986,1962,HOU
986,1963,HOU
986,1965,HOU
1091,1997,NOR
20891,1986,MIN
20891,1987,MIN
20891,1988,MIN
20891,1989,DAL
20891,1990,DAL
20891,1991,TAM
20891,1992,ATL
20891,1993,ATL
20891,1994,MIA
11632,2017,GNB
23947,2011,NYJ
23947,2012,NYJ
23947,2013,NYJ
23947,2014,NYJ
23947,2015,NYJ
23947,2016,NYJ
23947,2017,NYJ
3542,2000,SDG
3542,2001,SDG
3542,2002,SDG
3542,2003,DAL
3542,2004,DAL
8648,1970,CHI
8648,1971,CHI
8648,1972,CHI
8648,1973,CHI
8648,1974,CHI
8648,1975,NYG
8648,1976,TAM
23296,2014,NOR
4817,1993,NWE
4817,1994,NWE
4817,1995,NWE
16020,2015,HOU
16020,2016,HOU
10036,1980,CHI
23976,1987,SDG
9713,2007,SEA
9713,2008,SEA
9713,2009,SEA
9713,2010,SEA
9713,2011,NOR
9713,2012,NOR
9713,2013,NOR
9713,2014,STL
15272,1980,OAK
15272,1981,OAK
15272,1982,RAI
15272,1983,RAI
15272,1984,RAI
15272,1985,RAI
15272,1986,RAI
15272,1987,RAI
15272,1988,RAI
15272,1989,SFO
15272,1990,SFO
15272,1991,WAS
24185,1982,WAS
24185,1983,WAS
24185,1984,WAS
15105,2014,BAL
15105,2015,NWE
15105,2016,IND
15105,2017,IND
13284,1996,DEN
13284,1997,DEN
