player_id,name,position,birth_state,college,high_school_state,draft_team,draft_round,draft_year,birth_year,birth_state_abr,high_school_state_abr
23906,Kyle Wilber,OLB,Florida,Wake Forest,Washington,Dallas Cowboys,4,2012,1989,FL,WA
10851,Vestee Jackson,DB-LB,California,Washington,California,Chicago Bears,2,1986,1963,CA,CA
10239,Derrick Hoskins,DB,Mississippi,Southern Miss,Mississippi,Los Angeles Raiders,5,1992,1970,MS,MS
18120,Scott Radecic,LB,Pennsylvania,Penn St.,Pennsylvania,Kansas City Chiefs,2,1984,1962,PA,PA
6148,Donteea Dye,WR,Ohio,Heidelberg,Ohio,,,,1993,OH,OH
13478,Sean Locklear,T-G,North Carolina,North Carolina St.,North Carolina,Seattle Seahawks,3,2004,1981,NC,NC
18107,Warren Rabb,QB,Louisiana,LSU,Louisiana,Detroit Lions,2,1960,1937,LA,LA
18388,Lew Reeve,T,Iowa,Iowa St.,Iowa,,,,1889,IA,IA
23416,Remi Watson,WR,Florida,South Carolina St.,Florida,,,,1964,FL,FL
14041,Ray Marelli,G,Illinois,Notre Dame,Illinois,,,,1901,IL,IL
3156,James Butler,DB,Georgia,Georgia Tech,Georgia,,,,1982,GA,GA
3303,John Cameron,G,Michigan,Kalamazoo,Michigan,,,,1901,MI,MI
5954,Chuck Dressen,B,Illinois,none,Illinois,,,,1894,IL,IL
17453,Marcus Peters,CB,California,Washington,California,Kansas City Chiefs,1,2015,1993,CA,CA
19255,Tyrone Rush,RB,Mississippi,North Alabama,Mississippi,,,,1971,MS,MS
8580,Al Gross,DB,California,Arizona,California,Dallas Cowboys,9,1983,1961,CA,CA
1149,Mike Barr,P,Virginia,Rutgers,Virginia,,,,1978,VA,VA
21351,Barry Stokes,T-G,Michigan,East. Michigan,Michigan,,,,1973,MI,MI
16216,Leon Neal,RB,Minnesota,Washington,California,Buffalo Bills,6,1996,1972,MN,CA
14324,Harry Mattos,HB,California,St. Mary's (CA),California,,,,1911,CA,CA
8140,Josh Gordon,WR,Texas,Utah,Texas,Cleveland Browns,2,2012,1991,TX,TX
3987,Louis Clark,WR,Mississippi,Mississippi St.,Mississippi,Seattle Seahawks,10,1987,1964,MS,MS
